"Date";"Value"
"07/21/1977";2,1433
"07/22/1977";2,0833
"07/25/1977";2,0233
"07/26/1977";1,8919
"07/27/1977";1,92
"07/28/1977";2,07
"07/29/1977";2,22
"08/01/1977";2,0892
"08/02/1977";2,0838
"08/03/1977";2,1
"08/04/1977";2
"08/05/1977";1,885
"08/08/1977";1,87
"08/09/1977";2,0388
"08/10/1977";2,0511
"08/11/1977";1,996
"08/12/1977";2,0472
"08/15/1977";2,062
"08/16/1977";2,1008
"08/17/1977";2,0426
"08/18/1977";2,0225
"08/19/1977";2,04
"08/22/1977";2,0554
"08/23/1977";2,0313
"08/24/1977";2,1025
"08/25/1977";2,054
"08/26/1977";1,9781
"08/29/1977";1,883
"08/30/1977";1,8959
"08/31/1977";1,836
"09/01/1977";1,8325
"09/02/1977";1,8381
"09/06/1977";1,8
"09/07/1977";1,76
"09/08/1977";1,7638
"09/09/1977";1,78
"09/12/1977";1,82
"09/13/1977";1,8
"09/14/1977";1,8396
"09/15/1977";1,8355
"09/16/1977";1,8327
"09/19/1977";1,8727
"09/20/1977";1,8606
"09/21/1977";1,8206
"09/22/1977";1,7806
"09/23/1977";1,7206
"09/26/1977";1,645
"09/27/1977";1,675
"09/28/1977";1,7097
"09/29/1977";1,6568
"09/30/1977";1,655
"10/03/1977";1,6675
"10/04/1977";1,5897
"10/05/1977";1,5582
"10/06/1977";1,6003
"10/07/1977";1,6127
"10/11/1977";1,6456
"10/12/1977";1,627
"10/13/1977";1,6088
"10/14/1977";1,565
"10/17/1977";1,6075
"10/18/1977";1,5754
"10/19/1977";1,5782
"10/20/1977";1,5
"10/21/1977";1,4906
"10/24/1977";1,54
"10/25/1977";1,615
"10/26/1977";1,605
"10/27/1977";1,66
"10/28/1977";1,76
"10/31/1977";1,845
"11/01/1977";1,8043
"11/02/1977";1,735
"11/03/1977";1,7893
"11/04/1977";1,9235
"11/07/1977";1,9525
"11/09/1977";2,004
"11/10/1977";2,015
"11/14/1977";1,9681
"11/15/1977";1,95
"11/16/1977";2,059
"11/17/1977";2,1601
"11/18/1977";2,113
"11/21/1977";2,13
"11/22/1977";2,0975
"11/23/1977";2,065
"11/25/1977";2,0267
"11/28/1977";1,951
"11/29/1977";1,8868
"11/30/1977";1,7956
"12/01/1977";1,7025
"12/02/1977";1,6978
"12/05/1977";1,7378
"12/06/1977";1,7778
"12/07/1977";1,8378
"12/08/1977";1,8933
"12/09/1977";1,8788
"12/12/1977";1,83
"12/13/1977";1,8642
"12/14/1977";1,835
"12/15/1977";1,775
"12/16/1977";1,785
"12/19/1977";1,7787
"12/20/1977";1,8187
"12/21/1977";1,8392
"12/22/1977";1,8513
"12/23/1977";1,9066
"12/27/1977";1,9246
"12/28/1977";1,91
"12/29/1977";1,9431
"12/30/1977";1,9203
"01/03/1978";1,9517
"01/04/1978";1,973
"01/05/1978";1,95
"01/06/1978";1,96
"01/09/1978";1,9718
"01/10/1978";2
"01/11/1978";1,985
"01/12/1978";1,98
"01/13/1978";1,9805
"01/16/1978";2,0125
"01/17/1978";1,995
"01/18/1978";1,9501
"01/19/1978";1,9667
"01/23/1978";1,9366
"01/24/1978";1,9096
"01/25/1978";1,945
"01/26/1978";1,9025
"01/27/1978";1,8868
"01/30/1978";1,92
"01/31/1978";1,9
"02/01/1978";1,9
"02/02/1978";1,9175
"02/03/1978";1,92
"02/06/1978";1,9425
"02/08/1978";1,9931
"02/09/1978";1,9806
"02/10/1978";1,975
"02/14/1978";1,977
