semSeca,s0s4,s1s4,s2s4,s3s4,s4,mes,ano,uf
"65,57","34,43","1,18",0,0,0,5,2022,BA
"77,91","22,09","2,48",0,0,0,4,2022,BA
"85,21","14,79","2,48",0,0,0,3,2022,BA
"84,67","15,33","2,48",0,0,0,2,2022,BA
"82,69","17,31","2,48",0,0,0,1,2022,BA
"73,4","26,6","6,02",0,0,0,12,2021,BA
"1,83","98,17","70,62","2,45",0,0,11,2021,BA
0,100,"91,92","6,56",0,0,10,2021,BA
0,100,"95,73","10,09",0,0,9,2021,BA
0,100,"95,73","5,35",0,0,8,2021,BA
0,100,"99,37","5,26",0,0,7,2021,BA
0,100,"68,79","1,07",0,0,6,2021,BA
0,100,"57,19","1,07",0,0,5,2021,BA
"0,02","99,98","49,33","1,07",0,0,4,2021,BA
0,100,"55,58","1,07",0,0,3,2021,BA
"16,72","83,28","13,54","0,21",0,0,2,2021,BA
"42,53","57,47","17,17","3,72",0,0,1,2021,BA
"51,94","48,06","16,73","3,72",0,0,12,2020,BA
"52,29","47,71","13,93","3,72",0,0,11,2020,BA
"40,9","59,1","18,33","3,72",0,0,10,2020,BA
"31,53","68,47","25,59","3,72",0,0,9,2020,BA
"31,79","68,21","21,57","3,72",0,0,8,2020,BA
"22,95","77,05","20,8","3,72",0,0,7,2020,BA
"24,22","75,78","21,65","3,71",0,0,6,2020,BA
"19,03","80,97","34,72","3,71",0,0,5,2020,BA
"10,83","89,17","52,86","3,71",0,0,4,2020,BA
"7,49","92,51","87,19","29,65",0,0,3,2020,BA
"7,63","92,37","88,8","64,57",0,0,2,2020,BA
"4,12","95,88","88,84","62,73","2,45",0,1,2020,BA
"2,97","97,03","83,08","64,88","4,51",0,12,2019,BA
"8,05","91,95","74,14","52,36","4,51",0,11,2019,BA
"15,46","84,54","78,75","40,15","5,51",0,10,2019,BA
"15,69","84,31","78,98","37,2","5,56",0,9,2019,BA
"15,89","84,11","68,38","35,79","5,51",0,8,2019,BA
10,90,"68,78","45,24","10,88",0,7,2019,BA
10,90,"66,99","43,56","14,8",0,6,2019,BA
"8,51","91,49","65,93","43,74","14,85",0,5,2019,BA
"8,48","91,52","63,46","43,74","14,66",0,4,2019,BA
"0,01","99,99","66,47","55,82","26,4","2,39",3,2019,BA
"0,01","99,99","70,95","57,78","28,38","4,17",2,2019,BA
"8,34","91,66","72,45","57,25","27,41","5,18",1,2019,BA
"12,04","87,96","65,28","48,62","27,63","5,18",12,2018,BA
"7,83","92,17","83,1","54,63","28,39","5,39",11,2018,BA
"5,84","94,16","83,1","57,74","28,39","5,74",10,2018,BA
"5,92","94,08","83,08","57,13","28,17","5,73",9,,BA
"14,34","85,66","78,64","44,44","22,33","5,47",8,2018,BA
"14,34","85,66","78,64","44,44","19,85","3,53",7,2018,BA
"17,56","82,44","63,79","35,56","17,37","3,47",6,2018,BA
"19,04","80,96","54,06","35,26","15,59","1,98",5,2018,BA
"21,03","78,97","46,04","35,26","15,38","1,94",4,2018,BA
"19,69","80,31","55,14","42,66","30,83","3,43",3,2018,BA
"21,73","78,27","74,71","46,92","34,49","19,06",2,2018,BA
"21,73","78,27","74,99","66,02","55,92","33,44",1,2018,BA
"16,32","83,68","77,84","73,46","66,79","42,39",12,2017,BA
"15,83","84,17","79,43","75,15","68,06","47,91",11,2017,BA
"16,35","83,65","79,72","76,27","69,91","60,72",10,2017,BA
"19,97","80,03","77,18","72,02","67,78",48,9,2017,BA
"19,31","80,69","76,91","73,02","67,6","46,69",8,2017,BA
"8,67","91,33",83,"73,05","63,36","36,6",7,2017,BA
"8,16","91,84","85,12","71,16","62,4","35,82",6,2017,BA
"8,16","91,84","85,12","71,16","62,4","35,82",5,2017,BA
0,100,"86,66","73,64","63,49","39,4",4,2017,BA
0,100,"94,34","82,8","72,12","47,02",3,2017,BA
0,100,"94,34","90,03","79,24","63,5",2,2017,BA
0,100,"93,17","90,51","85,91","73,74",1,2017,BA
"6,19","93,81","90,15","87,83","85,64","62,44",12,2016,BA
"6,19","93,81","90,15","88,61","85,64","42,52",11,2016,BA
0,100,"90,92","88,61","83,33","24,42",10,2016,BA
0,100,100,"97,23","82,15","0,58",9,2016,BA
0,100,100,100,"89,73","0,02",8,2016,BA
0,100,100,100,"78,27",0,7,2016,BA
0,100,100,"96,72","63,14",0,6,2016,BA
0,100,100,"90,72",25,0,5,2016,BA
0,100,100,"48,5","6,06",0,4,2016,BA
0,100,"90,15","36,12","2,57",0,3,2016,BA
"0,01","99,99","88,75","12,35","2,72",0,2,2016,BA
0,100,"92,97","5,39","2,84",0,1,2016,BA
0,100,100,97,"80,17","53,12",12,2015,BA
0,100,100,"79,23","51,48","8,05",11,2015,BA
0,100,"84,57","60,68","34,85","5,49",10,2015,BA
"22,58","77,42","60,72","54,24","25,32","0,54",9,2015,BA
"38,3","61,7","55,35","30,33","13,85","0,37",8,2015,BA
"36,08","63,92","33,04","16,8","11,1","0,11",7,2015,BA
"26,06","73,94","35,54","16,75","11,07",0,6,2015,BA
"4,02","95,98","66,61","18,27","10,42",0,5,2015,BA
"1,53","98,47","66,5","18,47","10,47",0,4,2015,BA
0,100,"81,64","27,95","10,75","0,02",3,2015,BA
0,100,"57,54","18,07","0,23","0,02",2,2015,BA
"27,01","72,99","23,74","17,1","0,21",0,1,2015,BA
"30,06","69,94","36,83","23,14","1,63","0,08",12,2014,BA
"32,46","67,54","57,24","46,5","1,63",0,11,2014,BA
"5,56","94,44","72,19","49,1","7,16","0,1",10,2014,BA
"8,57","91,43","69,35","14,92","2,67","0,02",9,2014,BA
"8,77","91,23","46,34","13,48","3,55","0,23",8,2014,BA
"26,64","73,36","44,27","13,59","3,02","0,17",7,2014,BA
"24,16","75,84","33,89","0,01",0,0,6,2025,CE
"24,5","75,5","1,54",0,0,0,5,2025,CE
"45,08","54,92","1,54",0,0,0,4,2025,CE
"80,04","19,96",0,0,0,0,3,2025,CE
"67,58","32,42",0,0,0,0,2,2025,CE
"36,82","63,18",0,0,0,0,1,2025,CE
"20,48","79,52","42,67",0,0,0,12,2024,CE
"13,01","86,99","38,49",0,0,0,11,2024,CE
"23,81","76,19","5,25",0,0,0,10,2024,CE
"31,75","68,25",0,0,0,0,9,2024,CE
"87,48","12,52",0,0,0,0,8,2024,CE
"94,8","5,2",0,0,0,0,7,2024,CE
"99,3","0,7",0,0,0,0,6,2024,CE
"89,49","10,51",0,0,0,0,5,2024,CE
"89,49","10,51",0,0,0,0,4,2024,CE
"57,45","42,55","10,17",0,0,0,3,2024,CE
"23,5","76,5","37,54",0,0,0,2,2024,CE
0,100,"76,23","2,13",0,0,1,2024,CE
0,100,"47,21",0,0,0,12,2023,CE
0,100,"47,23",0,0,0,11,2023,CE
0,100,"21,46",0,0,0,10,2023,CE
"17,67","82,33",0,0,0,0,9,2023,CE
"64,26","35,74",0,0,0,0,8,2023,CE
"66,27","33,73",0,0,0,0,7,2023,CE
100,0,0,0,0,0,6,2023,CE
