,Ano,Mes,Value
483,2013,4,1.330557142857143
484,2013,5,1.2989565217391303
485,2013,6,1.223865
486,2013,7,1.261952380952381
487,2013,8,1.2229652173913044
488,2013,9,1.20525
489,2013,10,1.1735681818181818
490,2013,11,1.1625045454545455
491,2013,12,1.1900238095238096
492,2014,1,1.38835
493,2014,2,1.7177578947368422
494,2014,3,1.792282608695652
495,2014,4,1.93944
496,2014,5,1.8351818181818182
497,2014,6,1.75019
498,2014,7,1.7555
499,2014,8,1.857947619047619
500,2014,9,1.82495
501,2014,10,1.90548
502,2014,11,1.8563649999999998
503,2014,12,1.7454
504,2015,1,1.529675
505,2015,2,1.412345
506,2015,3,1.354875
507,2015,4,1.3630045454545454
508,2015,5,1.3482
509,2015,6,1.3399809523809525
510,2015,7,1.2892272727272727
511,2015,8,1.3006
512,2015,9,1.2726521739130434
513,2015,10,1.2679347826086957
514,2015,11,1.2384368421052632
515,2015,12,1.2796666666666667
516,2016,1,1.2473095238095238
517,2016,2,1.2422111111111112
518,2016,3,1.311725
519,2016,4,1.273561904761905
520,2016,5,1.2856999999999998
521,2016,6,1.3754727272727274
522,2016,7,1.428931818181818
523,2016,8,1.394708695652174
524,2016,9,1.467568181818182
525,2016,10,1.51515
526,2016,11,1.4691904761904762
527,2016,12,1.3788863636363635
528,2017,1,1.447725
529,2017,2,1.4155722222222222
530,2017,3,1.3888749999999999
531,2017,4,1.3390499999999999
532,2017,5,1.3150249999999999
533,2017,6,1.2709791666666665
534,2017,7,1.3402272727272726
535,2017,8,1.3074045454545453
536,2017,9,1.3523095238095237
537,2017,10,1.3006818181818183
538,2017,11,1.290957142857143
539,2017,12,1.2631000000000001
540,2018,1,1.2056578947368422
541,2018,2,1.191135
542,2018,3,1.1746750000000001
543,2018,4,1.163663157894737
544,2018,5,1.1759347826086957
545,2018,6,1.1426045454545455
546,2018,7,1.1160238095238095
547,2018,8,1.0660391304347827
548,2018,9,1.0662857142857143
549,2018,10,1.1638333333333333
550,2018,11,1.1126190476190476
551,2018,12,1.0733181818181818
552,2019,1,1.022357142857143
553,2019,2,0.9891263157894736
554,2019,3,0.984952380952381
555,2019,4,0.9725904761904761
556,2019,5,0.9746875
557,2019,6,1.01678
558,2019,7,1.0209761904761905
559,2019,8,0.9611391304347826
560,2019,9,1.0115750000000001
561,2019,10,0.9924090909090908
562,2019,11,1.0835347826086956
563,2019,12,1.1922619047619047
564,2020,1,1.10225
565,2020,2,1.1034666666666666
566,2020,3,1.1559772727272728
567,2020,4,1.1188363636363636
568,2020,5,1.053675
569,2020,6,1.0177238095238095
570,2020,7,1.0892708333333334
571,2020,8,1.180295238095238
572,2020,9,1.131909090909091
573,2020,10,1.0834130434782607
574,2020,11,1.147485
575,2020,12,1.1869999999999998
576,2021,1,1.4426363636363637
577,2021,2,1.4963944444444444
578,2021,3,1.4507857142857143
579,2021,4,1.4424727272727274
580,2021,5,1.5240909090909092
581,2021,6,1.6043619047619049
582,2021,7,1.7459772727272729
583,2021,8,1.7606565217391306
584,2021,9,1.8051086956521738
585,2021,10,1.9129047619047619
586,2021,11,2.04842
587,2021,12,2.0379583333333335
588,2022,1,2.3018454545454543
589,2022,2,2.3215736842105263
590,2022,3,2.1932954545454546
591,2022,4,2.2174761904761904
592,2022,5,2.198319047619048
593,2022,6,2.2491545454545454
594,2022,7,2.143982608695652
595,2022,8,2.2401136363636365
596,2022,9,2.175181818181818
597,2022,10,1.9980952380952381
598,2022,11,1.8509227272727273
599,2022,12,1.8648227272727274
600,2023,1,1.6536714285714287
601,2023,2,1.793715
602,2023,3,1.7260041666666668
603,2023,4,1.7985875
604,2023,5,1.7806857142857142
605,2023,6,1.7034375
606,2023,7,1.6452272727272728
607,2023,8,1.596759090909091
608,2023,9,1.5959666666666668
609,2023,10,1.63145
610,2023,11,1.6786631578947369
611,2023,12,1.8352619047619048
612,2024,1,1.9810909090909092
613,2024,2,2.078622727272727
614,2024,3,2.0421761904761904
615,2024,4,2.3286571428571428
616,2024,5,2.195632
617,2024,6,2.298625
618,2024,7,2.327375
619,2024,8,2.362347826086957
620,2024,9,2.5011714285714284
621,2024,10,2.471831818181818
622,2024,11,2.758940909090909
623,2024,12,2.8468652173913047
624,2025,1,3.13043
625,2025,2,3.6797411764705883
626,2025,3,3.611105263157895
627,2025,4,3.593668421052632
628,2025,5,3.5155
629,2025,6,3.0259
630,2025,7,1.4659761904761903
631,2025,8,3.2841714285714287
632,2025,9,3.43074
633,2025,10,3.48548
634,2025,11,3.4665399999999997
635,2025,12,3.73076
