ano_agricola,safra,uf,produto,id_produto,id_levantamento,dsc_levantamento,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,11,11º LEV             ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,12,12º LEV             ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,1,1º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,2,2º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,3,3º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,4,4º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,5,5º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,6,6º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,7,7º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,8,8º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,DF,GIRASSOL                                ,4738,9,9º LEV              ,1.0,2.0,2.0
2017/18             ,UNICA          ,GO,GIRASSOL                                ,4738,10,10º LEV             ,22.0,36.0,1.6
2017/18             ,UNICA          ,GO,GIRASSOL                                ,4738,11,11º LEV             ,22.0,33.0,1.5
